13768;199.204.48.0;21;4 days, 13:43:37;1554094872;1554489889;['13768', '29909', '13625'];0
13768;2606:2700::;32;0:26:13;1554093426;1554094999;['13768', '54044'];0
13768;2607:7b00:4000::;36;0:01:05;1554157861;1554157926;['13768', '54643', '54643', '54643', '54643', '54643', '54643', '54643', '54643', '54643', '54643', '54643'];0
13768;69.172.252.0;24;0:00:00;1554227513;1554227513;['13768'];0
13768;69.28.203.0;24;12:07:18;1554318331;1554361969;['13768'];1
13768;109.205.159.0;24;0:00:20;1554267238;1554267258;['13768'];0
13768;109.205.157.0;24;13:53:26;1554267238;1554317244;['13768'];0
13768;185.6.134.0;24;13:53:34;1554267238;1554317252;['13768'];0
13768;104.225.137.0;24;1:35:05;1554269268;1554274973;['13768', '393676', '393676'];0
13768;192.150.214.0;23;0:00:32;1554308929;1554308961;['13768'];0
13768;68.71.32.0;24;0:00:31;1554390208;1554390239;['13768', '29909', '10929', '46874'];0
13768;209.44.115.0;24;0:08:33;1554390208;1554390721;['13768', '29909', '10929', '46874'];0
13768;63.243.164.0;24;0:08:01;1554390209;1554390690;['13768', '29909', '10929'];0
13768;2607:7b00:7000::;36;8:13:09;1554413052;1554442641;['13768', '54643'];0
13768;69.90.13.8;32;1:07:05;1554441891;1554445916;['13768'];0
13768;69.90.13.7;32;1:07:04;1554441891;1554445915;['13768'];0
13768;2604:fb80:f00a::;48;0:00:00;1554442523;1554442523;['13768', '15128'];0
13768;185.81.208.0;24;0:53:32;1554442524;1554445736;['13768', '42473', '42388'];0
13768;69.28.249.0;24;14:07:04;1554525329;1554576153;['13768'];0
13768;76.74.161.0;24;13:56:14;1554525650;1554575824;['13768'];0
