49544;212.18.234.0;24;1 day, 18:50:36;1554102772;1554257008;['49544', '33182'];1
49544;37.230.193.0;24;0:00:09;1554104311;1554104320;['49544', '58272'];0
49544;88.218.118.0;24;0:00:01;1554139571;1554139572;['49544', '209622'];0
49544;31.131.27.0;24;0:00:00;1554193914;1554193914;['49544', '56851', '56851', '56851', '56851', '56851'];0
49544;185.187.252.0;24;6:37:55;1554233228;1554257103;['49544', '42695', '29024'];0
49544;2a07:6680::;29;6:36:01;1554233228;1554256989;['49544', '202954', '202954', '202954', '202954', '202954'];0
49544;2a0a:5980::;29;6:36:10;1554233228;1554256998;['49544'];0
49544;2a00:1635::;32;6:36:16;1554233228;1554257004;['49544'];1
49544;2a03:b000:900::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a0b:f380:3e8::;48;6:36:11;1554233228;1554256999;['49544'];0
49544;2a00:1630::;29;6:36:16;1554233228;1554257004;['49544'];2
49544;2a00:1630::;32;13:12:25;1554233228;1554280773;['49544'];0
49544;2a0b:1b00::;29;6:36:10;1554233228;1554256998;['49544'];0
49544;2a0d:7380::;29;6:36:12;1554233228;1554257000;['49544', '202918'];0
49544;2a03:7000::;32;6:36:20;1554233228;1554257008;['49544', '28997'];0
49544;2a03:b000::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a03:b000:800::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2001:67c:10d0::;48;6:36:31;1554233228;1554257019;['49544', '42695', '43101'];0
49544;2a04:c600::;29;6:35:59;1554233228;1554256987;['49544'];2
49544;2a00:16d8::;32;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a03:60::;32;6:36:12;1554233228;1554257000;['49544', '60022'];0
49544;2a00:1708::;32;6:36:10;1554233228;1554256998;['49544'];0
49544;2a04:f180::;29;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a09:4f80:1::;48;6:36:10;1554233228;1554256998;['49544'];0
49544;2a03:b000:700::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a06:7a00::;48;6:36:10;1554233228;1554256998;['49544'];0
49544;2a07:71c0::;29;6:36:12;1554233228;1554257000;['49544', '202918'];0
49544;2a03:b000:600::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a03:d7c0::;29;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a0b:d9c0:165::;48;6:36:58;1554233228;1554257046;['49544'];0
49544;2001:67c:7bc::;48;6:36:38;1554233228;1554257026;['49544', '42695', '8949'];0
49544;2a07:af00::;29;6:36:00;1554233228;1554256988;['49544', '202625'];0
49544;2a0c:84c7::;32;6:36:02;1554233228;1554256990;['49544', '62370'];0
49544;2a00:1d20::;32;6:36:16;1554233228;1554257004;['49544'];0
49544;2a03:b000:500::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a07:2440::;29;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a0b:f380::;48;6:36:10;1554233228;1554256998;['49544'];0
49544;2a0b:d9c0:164::;48;6:36:10;1554233228;1554256998;['49544'];0
49544;2a03:b000:400::;40;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2602:ffa6:700::;40;6:36:17;1554233228;1554257005;['49544', '62731'];0
49544;2a05:5480::;29;6:35:59;1554233228;1554256987;['49544', '12506'];0
49544;2a02:2308:20::;48;6:35:59;1554233228;1554256987;['49544', '198485'];0
49544;2a06:88c0::;29;6:35:59;1554233228;1554256987;['49544', '12506'];0
49544;2001:67c:174c::;48;6:36:36;1554233228;1554257024;['49544', '42695'];0
49544;2a06:c280::;29;6:36:05;1554233228;1554256993;['49544', '203708'];0
49544;2001:913:1000::;36;6:36:18;1554233228;1554257006;['49544', '204059'];0
49544;2a04:c602::;32;6:35:59;1554233228;1554256987;['49544'];1
49544;2607:8700:105::;48;6:36:16;1554233228;1554257004;['49544', '25820'];0
49544;2001:67c:560::;48;6:36:38;1554233228;1554257026;['49544', '42695', '8949'];0
49544;2a00:1636::;32;6:36:28;1554233228;1554257016;['49544'];0
49544;2a00:7b80::;32;6:36:02;1554233228;1554256990;['49544', '62370'];0
49544;2a06:2980::;29;6:36:38;1554233228;1554257026;['49544', '42695', '8949'];0
49544;2a02:50e0::;32;6:36:16;1554233228;1554257004;['49544', '198203'];0
49544;2a05:6440::;29;6:36:10;1554233228;1554256998;['49544'];0
49544;2a03:3a60::;32;6:36:10;1554233228;1554256998;['49544'];0
49544;2a04:c601::;32;13:12:07;1554233228;1554280755;['49544'];0
49544;188.122.82.0;23;0:00:04;1554257174;1554257178;['49544'];0
49544;138.128.140.0;22;9:34:37;1554275626;1554310103;['49544'];0
49544;2a07:6680::;29;1:25:32;1554275626;1554280758;['49544', '202954', '202954', '202954', '202954', '202954'];0
49544;2a0a:5980::;29;1:25:43;1554275626;1554280769;['49544'];0
49544;2a00:1635::;32;1:25:42;1554275626;1554280768;['49544'];0
49544;2a03:b000:900::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a0b:f380:3e8::;48;1:25:43;1554275626;1554280769;['49544'];0
49544;2a00:1630::;29;1:25:47;1554275626;1554280773;['49544'];0
49544;2a0b:1b00::;29;1:25:43;1554275626;1554280769;['49544'];0
49544;2a0d:7380::;29;1:25:44;1554275626;1554280770;['49544', '202918'];0
49544;2a03:7000::;32;1:25:51;1554275626;1554280777;['49544', '28997'];0
49544;2a03:b000::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a03:b000:800::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2001:67c:10d0::;48;1:26:19;1554275626;1554280805;['49544', '42695', '43101'];0
49544;2a04:c600::;29;1:25:29;1554275626;1554280755;['49544'];0
49544;2a00:16d8::;32;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a03:60::;32;1:25:45;1554275626;1554280771;['49544', '60022'];0
49544;2a00:1708::;32;1:25:43;1554275626;1554280769;['49544'];0
49544;2a04:f180::;29;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a09:4f80:1::;48;1:25:43;1554275626;1554280769;['49544'];0
49544;2a03:b000:700::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a06:7a00::;48;1:25:43;1554275626;1554280769;['49544'];0
49544;2a07:71c0::;29;1:25:44;1554275626;1554280770;['49544', '202918'];0
49544;2a03:b000:600::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a03:d7c0::;29;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a0b:d9c0:165::;48;1:26:21;1554275626;1554280807;['49544'];0
49544;2001:67c:7bc::;48;1:25:34;1554275626;1554280760;['49544', '42695', '8949'];0
49544;2a07:af00::;29;1:25:31;1554275626;1554280757;['49544', '202625'];0
49544;2a0c:84c7::;32;1:25:33;1554275626;1554280759;['49544', '62370'];0
49544;2a00:1d20::;32;1:25:47;1554275626;1554280773;['49544'];0
49544;2a03:b000:500::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a07:2440::;29;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a0b:f380::;48;1:25:43;1554275626;1554280769;['49544'];0
49544;2a0b:d9c0:164::;48;1:25:43;1554275626;1554280769;['49544'];0
49544;2a03:b000:400::;40;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2602:ffa6:700::;40;1:25:48;1554275626;1554280774;['49544', '62731'];0
49544;2a05:5480::;29;1:25:29;1554275626;1554280755;['49544', '12506'];0
49544;2a02:2308:20::;48;1:25:29;1554275626;1554280755;['49544', '198485'];0
49544;2a06:88c0::;29;1:25:29;1554275626;1554280755;['49544', '12506'];0
49544;2001:67c:174c::;48;1:25:30;1554275626;1554280756;['49544', '42695'];0
49544;2a06:c280::;29;1:25:34;1554275626;1554280760;['49544', '203708'];0
49544;2001:913:1000::;36;1:25:48;1554275626;1554280774;['49544', '204059'];0
49544;2a04:c602::;32;1:25:43;1554275626;1554280769;['49544'];0
49544;2607:8700:105::;48;1:25:46;1554275626;1554280772;['49544', '25820'];0
49544;2001:67c:560::;48;1:25:34;1554275626;1554280760;['49544', '42695', '8949'];0
49544;2a00:1636::;32;1:26:35;1554275626;1554280821;['49544'];0
49544;2a00:7b80::;32;1:25:33;1554275626;1554280759;['49544', '62370'];0
49544;2a06:2980::;29;1:25:34;1554275626;1554280760;['49544', '42695', '8949'];0
49544;2a02:50e0::;32;1:25:47;1554275626;1554280773;['49544', '198203'];0
49544;2a05:6440::;29;1:25:43;1554275626;1554280769;['49544'];0
49544;2a03:3a60::;32;1:25:43;1554275626;1554280769;['49544'];0
49544;138.128.140.0;22;5:13:33;1554309861;1554328674;['49544'];0
49544;2a03:7000::;32;0:00:01;1554309959;1554309960;['49544', '28997'];0
49544;2a03:7000::;32;0:00:11;1554310083;1554310094;['49544', '28997'];0
