6922;206.40.176.0;20;2 days, 2:15:11;1554794853;1554975764;['6922', '19856'];0
6922;2605:2800:101::;48;0:00:56;1554872603;1554872659;['6922', '3354'];0
6922;2605:2800:100::;40;0:00:56;1554872603;1554872659;['6922', '3354'];0
6922;2605:2800:c200::;48;0:00:56;1554872603;1554872659;['6922', '27594'];0
6922;129.113.3.0;24;0:00:48;1554872613;1554872661;['6922', '11481', '22864'];2
6922;206.77.0.0;16;0:24:20;1554872614;1554874074;['6922', '3354'];1
6922;207.64.0.0;16;0:43:15;1554872614;1554875209;['6922', '3354'];1
6922;172.25.128.0;17;0:00:59;1554872614;1554872673;['6922', '3354'];0
6922;198.153.169.0;24;0:24:19;1554872614;1554874073;['6922', '3354'];0
6922;192.138.168.0;24;0:24:17;1554872614;1554874071;['6922', '3354'];0
6922;198.214.0.0;16;4 days, 0:00:11;1554872614;1555218225;['6922', '3354'];1
6922;199.66.242.0;24;0:00:59;1554872614;1554872673;['6922', '54596'];0
6922;141.198.0.0;16;0:00:55;1554872622;1554872677;['6922', '1761'];0
6922;165.184.76.0;23;0:24:07;1554872622;1554874069;['6922', '1761'];0
6922;168.32.0.0;12;0:24:08;1554872622;1554874070;['6922', '1761'];0
6922;168.48.0.0;13;0:43:02;1554872622;1554875204;['6922', '1761'];0
6922;192.203.8.0;22;0:43:05;1554872622;1554875207;['6922', '1761'];0
6922;204.64.0.0;14;0:24:12;1554872622;1554874074;['6922', '1761'];0
6922;192.48.134.0;23;0:43:04;1554872622;1554875206;['6922', '1761'];0
6922;134.125.0.0;16;0:24:06;1554872622;1554874068;['6922', '1761'];0
6922;144.45.0.0;16;0:24:06;1554872622;1554874068;['6922', '1761'];0
6922;160.42.0.0;16;0:43:02;1554872622;1554875204;['6922', '1761'];0
6922;147.80.0.0;16;0:43:01;1554872622;1554875203;['6922', '1761'];0
6922;199.66.244.0;24;0:57:16;1554872623;1554876059;['6922', '54596'];0
6922;129.109.0.0;18;1 day, 4:45:05;1554872623;1554976128;['6922', '14373'];1
6922;129.111.0.0;16;0:07:51;1554872623;1554873094;['6922', '26971'];0
6922;206.77.0.0;19;0:43:06;1554872623;1554875209;['6922', '54933', '54933', '54933', '54933', '54933'];0
6922;129.115.0.0;16;0:24:05;1554872623;1554874068;['6922', '27594'];0
6922;129.113.0.0;16;0:00:52;1554872623;1554872675;['6922', '22864'];1
6922;67.207.0.0;23;0:06:31;1554872623;1554873014;['6922', '11481', '14314'];0
6922;67.207.8.0;24;0:23:59;1554872623;1554874062;['6922', '11481', '14314'];0
6922;67.207.16.0;20;0:33:57;1554872623;1554874660;['6922', '11481', '14314'];0
6922;67.207.11.0;24;0:42:54;1554872623;1554875197;['6922', '11481', '14314'];0
6922;67.207.6.0;24;0:52:05;1554872623;1554875748;['6922', '11481', '14314'];0
6922;198.22.91.0;24;0:57:13;1554872623;1554876056;['6922', '11481', '14314'];0
6922;192.124.233.0;24;0:18:54;1554872866;1554874000;['6922'];0
6922;2605:2800:101::;48;0:18:32;1554872943;1554874055;['6922', '3354'];0
6922;2605:2800:100::;40;0:18:32;1554872943;1554874055;['6922', '3354'];0
6922;2605:2800:c200::;48;0:18:32;1554872943;1554874055;['6922', '27594'];0
6922;192.124.233.0;24;0:10:42;1554874499;1554875141;['6922'];0
6922;2605:2800:101::;48;0:09:44;1554874592;1554875176;['6922', '3354'];0
6922;2605:2800:100::;40;0:09:44;1554874592;1554875176;['6922', '3354'];0
6922;2605:2800:c200::;48;0:09:44;1554874592;1554875176;['6922', '27594'];0
6922;204.64.0.0;14;0:05:34;1554874875;1554875209;['6922', '1761'];0
6922;143.111.0.0;16;0:00:41;1555034486;1555034527;['6922', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773'];0
6922;143.111.0.0;16;0:00:44;1555034547;1555034591;['6922', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773'];0
6922;143.111.0.0;16;0:00:49;1555034903;1555034952;['6922', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773'];0
6922;173.224.80.0;20;0:35:56;1555056276;1555058432;['6922', '47050', '47050', '47050', '47050', '47050', '47050', '47050'];0
6922;173.224.80.0;20;0:00:22;1555058433;1555058455;['6922', '47050', '47050', '47050', '47050', '47050', '47050', '47050'];0
6922;143.111.0.0;16;0:00:45;1555094052;1555094097;['6922', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773', '11773'];0
6922;66.64.64.0;19;0:00:00;1555121342;1555121342;['6922', '1970', '22163'];0
