11796;24.50.152.0;21;0:00:00;1555355176;1555355176;['11796', '46449'];1
11796;208.101.239.0;24;0:00:30;1555355206;1555355236;['11796', '46449'];0
11796;204.87.246.0;24;0:06:44;1555401974;1555402378;['11796', '21932'];0
11796;216.98.39.0;24;0:00:30;1555433797;1555433827;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555436648;1555436678;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555436731;1555436761;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555436901;1555436931;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555446681;1555446711;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555447012;1555447042;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555447213;1555447243;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555447890;1555447920;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555514929;1555514959;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555515189;1555515219;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.99.223.0;24;0:00:30;1555557959;1555557989;['11796', '10352', '21553'];0
11796;216.98.39.0;24;0:00:30;1555566708;1555566738;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555794132;1555794162;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555858925;1555858955;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555866244;1555866274;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555868734;1555868764;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555868932;1555868962;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555869319;1555869349;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555870492;1555870522;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555871480;1555871510;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555871812;1555871842;['11796', '53259', '53259', '53259', '53259', '53259'];0
11796;216.98.39.0;24;0:00:30;1555882550;1555882580;['11796', '53259', '53259', '53259', '53259', '53259'];0
