19754;69.5.192.0;19;10:22:29;1555891208;1555928557;['19754', '53423'];0
19754;69.64.28.0;22;1 day, 8:37:26;1555891232;1556008678;['19754', '53423', '396107', '174', '3356', '22006'];1
19754;69.64.28.0;23;1 day, 11:36:56;1555891249;1556019465;['19754', '53423', '396107', '174', '3356', '22006'];2
19754;69.64.28.0;24;1 day, 18:22:55;1555891625;1556044200;['19754', '53423', '396107', '174', '3356', '22006'];0
19754;104.152.24.0;24;17:44:46;1555928243;1555992129;['19754', '27216'];2
19754;104.152.25.0;24;4 days, 5:30:32;1555928243;1556293675;['19754', '27216'];0
19754;162.212.24.0;24;0:01:24;1555971799;1555971883;['19754', '19032'];0
19754;64.90.208.0;20;3 days, 17:32:41;1555992878;1556315239;['19754', '27216'];1
19754;104.152.24.0;22;3 days, 11:44:09;1555992880;1556294329;['19754', '27216'];1
19754;216.25.176.0;20;2:35:33;1555992922;1556002255;['19754', '27216'];1
19754;216.25.181.0;24;2 days, 0:48:31;1555992922;1556168633;['19754', '27216'];0
19754;216.25.187.0;24;2:35:39;1555992922;1556002261;['19754', '27216'];0
19754;216.25.187.0;24;2 days, 6:39:50;1556002256;1556199046;['19754', '27216'];0
19754;216.25.187.0;24;2 days, 6:39:50;1556002266;1556199056;['19754', '27216'];0
19754;69.64.28.0;22;20:03:05;1556044594;1556116779;['19754', '53423', '396107', '174', '3356', '22006'];0
19754;76.77.126.0;24;2:24:01;1556128017;1556136658;['19754', '13428', '40926'];0
19754;216.25.181.0;24;1:01:30;1556169194;1556172884;['19754', '27216'];0
19754;216.25.181.0;24;0:58:20;1556173174;1556176674;['19754', '27216'];0
19754;216.25.181.0;24;2 days, 5:13:29;1556176984;1556368593;['19754', '27216'];0
19754;216.25.187.0;24;2 days, 17:14:57;1556199050;1556433947;['19754', '27216'];0
19754;216.25.187.0;24;2 days, 17:14:56;1556199057;1556433953;['19754', '27216'];0
19754;173.230.106.0;24;0:00:00;1556294710;1556294710;['19754', '32709', '46925'];0
19754;69.64.28.0;24;1 day, 5:19:17;1556371623;1556477180;['19754', '53423', '396107', '174', '3356', '22006'];2
