703;2407:7a80:20::;45;1:21:15;1554703691;1554708566;['703', '30337', '132384'];1
703;103.76.232.0;24;1:21:11;1554703699;1554708570;['703', '132384'];0
703;2407:7a80:24::;46;1:21:00;1554703706;1554708566;['703', '132384'];1
703;2407:7a80:24::;48;2 days, 6:48:47;1554703706;1554901033;['703', '132384'];2
703;203.31.56.0;24;0:00:51;1554701032;1554701083;['703', '63956', '63956', '7594', '7594', '7594', '7594'];0
703;203.31.56.0;24;4:21:27;1554701112;1554716799;['703', '63956', '63956', '7594', '7594', '7594', '7594'];0
703;2407:7a80:24::;46;2 days, 5:27:36;1554708577;1554901033;['703', '132384'];1
703;2407:7a80:24::;48;2 days, 5:29:29;1554708577;1554901146;['703', '132384'];2
703;103.76.232.0;24;2 days, 5:27:36;1554708577;1554901033;['703', '132384'];0
703;149.234.128.0;18;4 days, 22:44:57;1554741582;1555169079;['703', '45755', '45755', '45755', '45755'];0
703;103.76.232.0;24;0:01:32;1554901054;1554901146;['703', '132384'];0
703;2407:7a80:24::;48;0:01:18;1554901068;1554901146;['703', '132384'];0
703;2407:7a80:24::;46;4:44:59;1554901068;1554918167;['703', '132384'];0
703;103.76.232.0;24;2:23:35;1554909558;1554918173;['703', '132384'];0
703;2407:7a80:24::;48;2:23:24;1554909563;1554918167;['703', '132384'];0
703;2407:7a80:24::;46;4:32:20;1554909563;1554925903;['703', '132384'];0
703;2407:7a80:24::;48;2:07:58;1554918225;1554925903;['703', '132384'];0
703;2407:7a80:24::;46;4:40:27;1554918225;1554935052;['703', '132384'];0
703;103.76.232.0;24;2:07:42;1554918246;1554925908;['703', '132384'];0
703;103.76.232.0;24;2:31:39;1554925953;1554935052;['703', '132384'];0
703;2407:7a80:24::;46;2:31:25;1554925967;1554935052;['703', '132384'];1
703;2407:7a80:24::;48;2:58:01;1554925967;1554936648;['703', '132384'];2
703;103.76.232.0;24;1 day, 12:00:54;1554935058;1555064712;['703', '132384'];0
703;2407:7a80:24::;46;0:26:16;1554935072;1554936648;['703', '132384'];1
703;2407:7a80:24::;48;1 day, 12:00:37;1554935072;1555064709;['703', '132384'];2
703;2407:7a80:24::;48;1 day, 11:34:03;1554936666;1555064709;['703', '132384'];0
703;2407:7a80:24::;46;1 day, 11:50:53;1554936666;1555065719;['703', '132384'];0
703;103.76.232.0;24;0:16:41;1555064719;1555065720;['703', '132384'];0
703;2407:7a80:24::;48;0:16:20;1555064739;1555065719;['703', '132384'];0
703;2407:7a80:24::;46;1:10:53;1555064739;1555068992;['703', '132384'];0
703;103.76.232.0;24;0:54:24;1555065732;1555068996;['703', '132384'];0
703;2407:7a80:24::;48;0:54:19;1555065733;1555068992;['703', '132384'];0
703;192.250.179.0;24;0:10:51;1555122809;1555123460;['703', '9466', '3738', '3738', '3738', '3738', '3738', '3738'];0
703;169.145.192.0;20;0:28:15;1555149147;1555150842;['703', '18219', '18219', '18219'];0
703;165.207.64.0;21;0:27:57;1555149166;1555150843;['703', '138481'];0
703;192.250.46.0;24;0:02:18;1555254500;1555254638;['703', '9466', '3738', '3738', '3738', '3738', '3738'];0
703;149.234.128.0;18;0:23:57;1555242769;1555244206;['703', '45755'];0
