14537;212.22.228.0;24;0:05:34;1554795696;1554796030;['14537', '12798'];0
14537;66.84.66.0;24;0:00:01;1554823950;1554823951;['14537'];0
14537;66.84.66.0;24;0:00:01;1554905845;1554905846;['14537'];0
14537;217.147.124.0;22;0:00:22;1554990190;1554990212;['14537', '201071'];0
14537;2a03:9e00::;32;0:03:20;1555000367;1555000567;['14537'];0
14537;2606:ca00::;32;0:03:19;1555000368;1555000567;['14537'];0
14537;185.166.55.0;24;0:00:01;1555069145;1555069146;['14537', '207095'];0
14537;2a03:9e00::;32;0:01:35;1555090682;1555090777;['14537'];0
14537;2606:ca00::;32;0:01:34;1555090683;1555090777;['14537'];0
14537;2606:ca00::;32;0:01:24;1555090863;1555090947;['14537'];0
14537;2a03:9e00::;32;0:01:24;1555090863;1555090947;['14537'];0
