10010;2a0b:4340:60::;44;19:33:18;1555351031;1555421429;['8220', '31003', '31003'];0
10010;122.251.64.0;19;2 days, 15:31:48;1555437996;1555666704;['10010', '18077'];0
10010;2a0b:4340:60::;44;1 day, 11:18:18;1555423091;1555550189;['8220', '31003'];0
10010;2a0b:4340:60::;44;1 day, 3:06:28;1555551197;1555648785;['6939', '20764', '49342', '34580'];0
10010;2001:df0:8500::;48;0:01:40;1555657257;1555657357;['6939', '16735', '262595'];0
10010;2401:7640:4000::;34;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;2401:7640::;32;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;2401:7640:8000::;33;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;2401:7640:8000::;34;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;2401:7640::;33;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;2401:7640::;34;0:00:30;1555657450;1555657480;['8220', '34171'];0
10010;122.251.96.0;19;10:42:41;1555681250;1555719811;['10010', '18077'];2
10010;218.223.192.0;20;10:42:41;1555681280;1555719841;['10010', '18077'];0
