10021;27.110.24.0/21;0:00:01;1556260576;1556260577;['10021']
10310;2406:2000:a8::/48;0:00:02;1555910620;1555910622;['10310']
10310;2406:2000:efba::/48;0:00:13;1555910620;1555910633;['10310', '45501']
10310;2406:2000::/32;0:00:06;1555910620;1555910626;['10310', '56173']
10310;2406:8600:f040::/48;0:00:02;1555910620;1555910622;['10310']
10310;2406:8600:f03f::/48;0:00:02;1555910620;1555910622;['10310']
10310;2406:2000:98::/48;0:00:05;1555910621;1555910626;['10310', '38032']
10310;2406:2000:efa6::/48;0:00:05;1555910621;1555910626;['10310', '56173']
10310;2406:2000:ef69::/48;0:00:05;1555910621;1555910626;['10310', '56173']
10310;2406:2000:efb3::/48;0:00:06;1555910621;1555910627;['10310', '45501']
10310;2406:8600:f840::/48;0:00:09;1555910622;1555910631;['10310']
10310;2406:8600:f83f::/48;0:00:09;1555910622;1555910631;['10310']
10310;2406:2000:e4::/46;0:00:10;1555910955;1555910965;['10310']
10310;2406:2000:efa6::/48;0:00:06;1555910955;1555910961;['10310', '56173']
10310;2406:2000:ef69::/48;0:00:06;1555910955;1555910961;['10310', '56173']
10310;2406:2000:98::/48;0:00:06;1555910955;1555910961;['10310', '38032']
10310;2406:2000::/32;0:00:04;1555910957;1555910961;['10310', '45501']
10310;2406:8600:f040::/48;0:00:08;1555910957;1555910965;['10310']
10310;2406:8600:f03f::/48;0:00:08;1555910957;1555910965;['10310']
10310;2406:8600:f840::/48;0:00:02;1555910957;1555910959;['10310']
10310;2406:8600:f83f::/48;0:00:02;1555910957;1555910959;['10310']
10310;2804:1bc:f045::/48;0:00:30;1556049742;1556049772;['10310']
10310;2804:1bc:f845::/48;0:00:00;1556049742;1556049742;['10310']
10310;2804:1bc:f045::/48;0:00:31;1556319112;1556319143;['10310']
10310;2804:1bc:f045::/48;0:00:29;1556319243;1556319272;['10310']
10310;2804:1bc:f045::/48;0:00:30;1556390806;1556390836;['10310']
10310;2804:1bc:f045::/48;0:00:29;1556398640;1556398669;['10310']
13335;173.245.49.0/24;0:00:21;1556191313;1556191334;['13335']
13335;173.245.49.0/24;0:00:52;1556343160;1556343212;['13335']
134835;2.58.58.0/24;0:00:28;1555962246;1555962274;['134835', '35133']
14537;217.21.131.0/24;0:00:01;1556132564;1556132565;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:34;1556133060;1556133094;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:07;1556202921;1556202928;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:01;1556294494;1556294495;['14537', '48768', '48768', '48768', '48768']
14537;185.28.72.0/24;0:00:01;1556483960;1556483961;['14537']
14537;185.28.72.0/24;0:00:01;1556484580;1556484581;['14537']
15169;104.132.59.0/24;0:00:01;1555920007;1555920008;['15169', '41264', '41264']
15169;2401:fa00:44::/48;0:00:01;1555919462;1555919463;['15169', '24424']
15169;2401:fa00:43::/48;0:00:01;1555920780;1555920781;['15169', '24424']
15169;2401:fa00:41::/48;0:00:01;1555920780;1555920781;['15169', '24424']
15169;104.132.38.0/24;0:00:33;1556008203;1556008236;['15169', '41264']
15169;104.132.37.0/24;0:00:02;1556009997;1556009999;['15169', '41264', '41264']
15169;104.132.124.0/24;0:00:04;1556009998;1556010002;['15169', '41264', '41264']
15169;104.132.26.0/24;0:00:02;1556014236;1556014238;['15169', '41264']
15169;104.132.26.0/24;0:00:03;1556019002;1556019005;['15169', '41264']
15169;104.132.119.0/24;0:00:01;1556040775;1556040776;['15169', '41264', '41264']
15169;104.132.152.0/24;0:00:28;1556044725;1556044753;['15169', '36384', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264']
15169;104.132.130.0/24;0:00:00;1556107211;1556107211;['15169', '41264', '41264']
15169;104.132.222.0/24;0:00:35;1556122053;1556122088;['15169', '41264']
15169;104.132.191.0/24;0:00:00;1556172741;1556172741;['15169', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264']
15169;104.132.113.0/24;0:00:02;1556174288;1556174290;['15169', '41264', '41264']
15169;2401:fa00:43::/48;0:00:07;1556269400;1556269407;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;1556269400;1556269407;['15169', '24424']
15169;2401:fa00:41::/48;0:00:01;1556269446;1556269447;['15169', '24424']
15169;2401:fa00:43::/48;0:00:01;1556269446;1556269447;['15169', '24424']
15169;2401:fa00:44::/48;0:00:03;1556269486;1556269489;['15169', '24424']
15169;2401:fa00:44::/48;0:00:06;1556269492;1556269498;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;1556269517;1556269524;['15169', '24424']
15169;2401:fa00:43::/48;0:00:07;1556269517;1556269524;['15169', '24424']
15169;2401:fa00:44::/48;0:00:05;1556269591;1556269596;['15169', '24424']
15169;2401:fa00:44::/48;0:00:05;1556269731;1556269736;['15169', '24424']
15169;2401:fa00:44::/48;0:00:05;1556269740;1556269745;['15169', '24424']
15169;2401:fa00:44::/48;0:00:05;1556272933;1556272938;['15169', '24424']
15169;2401:fa00:43::/48;0:00:06;1556273110;1556273116;['15169', '24424']
15169;2401:fa00:41::/48;0:00:06;1556273110;1556273116;['15169', '24424']
15169;2401:fa00:43::/48;0:00:01;1556273117;1556273118;['15169', '24424']
15169;2401:fa00:41::/48;0:00:01;1556273117;1556273118;['15169', '24424']
15169;2401:fa00:44::/48;0:00:05;1556276444;1556276449;['15169', '24424']
15169;2401:fa00:44::/48;0:00:01;1556276536;1556276537;['15169', '24424']
15169;2401:fa00:44::/48;0:00:07;1556276621;1556276628;['15169', '24424']
15169;2401:fa00:44::/48;0:00:15;1556276671;1556276686;['15169', '24424']
15169;2401:fa00:43::/48;0:00:05;1556273649;1556273654;['15169', '24424']
15169;2401:fa00:41::/48;0:00:05;1556273649;1556273654;['15169', '24424']
15169;2401:fa00:41::/48;0:00:09;1556274368;1556274377;['15169', '24424']
15169;2401:fa00:43::/48;0:00:09;1556274368;1556274377;['15169', '24424']
15169;2401:fa00:41::/48;0:00:01;1556274391;1556274392;['15169', '24424']
15169;2401:fa00:43::/48;0:00:01;1556274391;1556274392;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;1556274523;1556274530;['15169', '24424']
15169;2401:fa00:43::/48;0:00:07;1556274523;1556274530;['15169', '24424']
15169;2401:fa00:41::/48;0:00:02;1556274640;1556274642;['15169', '24424']
