10021;27.110.24.0/21;0:00:01;0123;0123;['10021']
10310;2406:2000:a8::/48;0:00:02;0123;0123;['10310']
10310;2406:2000:efba::/48;0:00:13;0123;0123;['10310', '45501']
10310;2406:2000::/32;0:00:06;0123;0123;['10310', '56173']
10310;2406:8600:f040::/48;0:00:02;0123;0123;['10310']
10310;2406:8600:f03f::/48;0:00:02;0123;0123;['10310']
10310;2406:2000:98::/48;0:00:05;0123;0123;['10310', '38032']
10310;2406:2000:efa6::/48;0:00:05;0123;0123;['10310', '56173']
10310;2406:2000:ef69::/48;0:00:05;0123;0123;['10310', '56173']
10310;2406:2000:efb3::/48;0:00:06;0123;0123;['10310', '45501']
10310;2406:8600:f840::/48;0:00:09;0123;0123;['10310']
10310;2406:8600:f83f::/48;0:00:09;0123;0123;['10310']
10310;2406:2000:e4::/46;0:00:10;0123;0123;['10310']
10310;2406:2000:efa6::/48;0:00:06;0123;0123;['10310', '56173']
10310;2406:2000:ef69::/48;0:00:06;0123;0123;['10310', '56173']
10310;2406:2000:98::/48;0:00:06;0123;0123;['10310', '38032']
10310;2406:2000::/32;0:00:04;0123;0123;['10310', '45501']
10310;2406:8600:f040::/48;0:00:08;0123;0123;['10310']
10310;2406:8600:f03f::/48;0:00:08;0123;0123;['10310']
10310;2406:8600:f840::/48;0:00:02;0123;0123;['10310']
10310;2406:8600:f83f::/48;0:00:02;0123;0123;['10310']
10310;2804:1bc:f045::/48;0:00:30;0123;0123;['10310']
10310;2804:1bc:f845::/48;0:00:00;0123;0123;['10310']
10310;2804:1bc:f045::/48;0:00:31;0123;0123;['10310']
10310;2804:1bc:f045::/48;0:00:29;0123;0123;['10310']
10310;2804:1bc:f045::/48;0:00:30;0123;0123;['10310']
10310;2804:1bc:f045::/48;0:00:29;0123;0123;['10310']
13335;173.245.49.0/24;0:00:21;0123;0123;['13335']
13335;173.245.49.0/24;0:00:52;0123;0123;['13335']
134835;2.58.58.0/24;0:00:28;0123;0123;['134835', '35133']
14537;217.21.131.0/24;0:00:01;0123;0123;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:34;0123;0123;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:07;0123;0123;['14537', '48768', '48768', '48768', '48768']
14537;217.21.131.0/24;0:00:01;0123;0123;['14537', '48768', '48768', '48768', '48768']
14537;185.28.72.0/24;0:00:01;0123;0123;['14537']
14537;185.28.72.0/24;0:00:01;0123;0123;['14537']
15169;104.132.59.0/24;0:00:01;0123;0123;['15169', '41264', '41264']
